system:index,NAME,count,imageId,.geo
2000_11_01_00000000000000000000,Alabama,1,2000_11_01,
2000_11_01_00000000000000000001,Alaska,0,2000_11_01,
2000_11_01_00000000000000000002,Arizona,0,2000_11_01,
2000_11_01_00000000000000000003,Arkansas,0,2000_11_01,
2000_11_01_00000000000000000004,California,0,2000_11_01,
2000_11_01_00000000000000000005,Colorado,0,2000_11_01,
2000_11_01_00000000000000000006,Connecticut,0,2000_11_01,
2000_11_01_00000000000000000007,Delaware,0,2000_11_01,
2000_11_01_00000000000000000008,District of Columbia,0,2000_11_01,
2000_11_01_00000000000000000009,Florida,17,2000_11_01,
2000_11_01_0000000000000000000a,Georgia,0,2000_11_01,
2000_11_01_0000000000000000000b,Hawaii,0,2000_11_01,
2000_11_01_0000000000000000000c,Idaho,0,2000_11_01,
2000_11_01_0000000000000000000d,Illinois,0,2000_11_01,
2000_11_01_0000000000000000000e,Indiana,0,2000_11_01,
2000_11_01_0000000000000000000f,Iowa,0,2000_11_01,
2000_11_01_00000000000000000010,Kansas,3,2000_11_01,
2000_11_01_00000000000000000011,Kentucky,57,2000_11_01,
2000_11_01_00000000000000000012,Louisiana,2,2000_11_01,
2000_11_01_00000000000000000013,Maine,0,2000_11_01,
2000_11_01_00000000000000000014,Maryland,0,2000_11_01,
2000_11_01_00000000000000000015,Massachusetts,0,2000_11_01,
2000_11_01_00000000000000000016,Michigan,0,2000_11_01,
2000_11_01_00000000000000000017,Minnesota,0,2000_11_01,
2000_11_01_00000000000000000018,Mississippi,0,2000_11_01,
2000_11_01_00000000000000000019,Missouri,0,2000_11_01,
2000_11_01_0000000000000000001a,Montana,0,2000_11_01,
2000_11_01_0000000000000000001b,Nebraska,0,2000_11_01,
2000_11_01_0000000000000000001c,Nevada,0,2000_11_01,
2000_11_01_0000000000000000001d,New Hampshire,0,2000_11_01,
2000_11_01_0000000000000000001e,New Jersey,0,2000_11_01,
2000_11_01_0000000000000000001f,New Mexico,0,2000_11_01,
2000_11_01_00000000000000000020,New York,0,2000_11_01,
2000_11_01_00000000000000000021,North Carolina,4,2000_11_01,
2000_11_01_00000000000000000022,North Dakota,0,2000_11_01,
2000_11_01_00000000000000000023,Ohio,0,2000_11_01,
2000_11_01_00000000000000000024,Oklahoma,0,2000_11_01,
2000_11_01_00000000000000000025,Oregon,0,2000_11_01,
2000_11_01_00000000000000000026,Pennsylvania,0,2000_11_01,
2000_11_01_00000000000000000027,Puerto Rico,0,2000_11_01,
2000_11_01_00000000000000000028,Rhode Island,0,2000_11_01,
2000_11_01_00000000000000000029,South Carolina,0,2000_11_01,
2000_11_01_0000000000000000002a,South Dakota,0,2000_11_01,
2000_11_01_0000000000000000002b,Tennessee,18,2000_11_01,
2000_11_01_0000000000000000002c,Texas,0,2000_11_01,
2000_11_01_0000000000000000002d,Utah,0,2000_11_01,
2000_11_01_0000000000000000002e,Vermont,0,2000_11_01,
2000_11_01_0000000000000000002f,Virgin Islands,0,2000_11_01,
2000_11_01_00000000000000000030,Virginia,166,2000_11_01,
2000_11_01_00000000000000000031,Washington,0,2000_11_01,
2000_11_01_00000000000000000032,West Virginia,0,2000_11_01,
2000_11_01_00000000000000000033,Wisconsin,0,2000_11_01,
2000_11_01_00000000000000000034,Wyoming,0,2000_11_01,
2000_12_01_00000000000000000000,Alabama,0,2000_12_01,
2000_12_01_00000000000000000001,Alaska,0,2000_12_01,
2000_12_01_00000000000000000002,Arizona,0,2000_12_01,
2000_12_01_00000000000000000003,Arkansas,0,2000_12_01,
2000_12_01_00000000000000000004,California,1,2000_12_01,
2000_12_01_00000000000000000005,Colorado,0,2000_12_01,
2000_12_01_00000000000000000006,Connecticut,0,2000_12_01,
2000_12_01_00000000000000000007,Delaware,0,2000_12_01,
2000_12_01_00000000000000000008,District of Columbia,0,2000_12_01,
2000_12_01_00000000000000000009,Florida,69,2000_12_01,
2000_12_01_0000000000000000000a,Georgia,0,2000_12_01,
2000_12_01_0000000000000000000b,Hawaii,0,2000_12_01,
2000_12_01_0000000000000000000c,Idaho,0,2000_12_01,
2000_12_01_0000000000000000000d,Illinois,0,2000_12_01,
2000_12_01_0000000000000000000e,Indiana,0,2000_12_01,
2000_12_01_0000000000000000000f,Iowa,0,2000_12_01,
2000_12_01_00000000000000000010,Kansas,0,2000_12_01,
2000_12_01_00000000000000000011,Kentucky,0,2000_12_01,
2000_12_01_00000000000000000012,Louisiana,0,2000_12_01,
2000_12_01_00000000000000000013,Maine,0,2000_12_01,
2000_12_01_00000000000000000014,Maryland,0,2000_12_01,
2000_12_01_00000000000000000015,Massachusetts,0,2000_12_01,
2000_12_01_00000000000000000016,Michigan,0,2000_12_01,
2000_12_01_00000000000000000017,Minnesota,0,2000_12_01,
2000_12_01_00000000000000000018,Mississippi,0,2000_12_01,
2000_12_01_00000000000000000019,Missouri,0,2000_12_01,
2000_12_01_0000000000000000001a,Montana,0,2000_12_01,
2000_12_01_0000000000000000001b,Nebraska,0,2000_12_01,
2000_12_01_0000000000000000001c,Nevada,24,2000_12_01,
2000_12_01_0000000000000000001d,New Hampshire,0,2000_12_01,
2000_12_01_0000000000000000001e,New Jersey,0,2000_12_01,
2000_12_01_0000000000000000001f,New Mexico,0,2000_12_01,
2000_12_01_00000000000000000020,New York,0,2000_12_01,
2000_12_01_00000000000000000021,North Carolina,0,2000_12_01,
2000_12_01_00000000000000000022,North Dakota,0,2000_12_01,
2000_12_01_00000000000000000023,Ohio,0,2000_12_01,
2000_12_01_00000000000000000024,Oklahoma,0,2000_12_01,
2000_12_01_00000000000000000025,Oregon,0,2000_12_01,
2000_12_01_00000000000000000026,Pennsylvania,0,2000_12_01,
2000_12_01_00000000000000000027,Puerto Rico,0,2000_12_01,
2000_12_01_00000000000000000028,Rhode Island,0,2000_12_01,
2000_12_01_00000000000000000029,South Carolina,0,2000_12_01,
2000_12_01_0000000000000000002a,South Dakota,0,2000_12_01,
2000_12_01_0000000000000000002b,Tennessee,0,2000_12_01,
2000_12_01_0000000000000000002c,Texas,0,2000_12_01,
2000_12_01_0000000000000000002d,Utah,0,2000_12_01,
2000_12_01_0000000000000000002e,Vermont,0,2000_12_01,
2000_12_01_0000000000000000002f,Virgin Islands,0,2000_12_01,
2000_12_01_00000000000000000030,Virginia,0,2000_12_01,
2000_12_01_00000000000000000031,Washington,0,2000_12_01,
2000_12_01_00000000000000000032,West Virginia,0,2000_12_01,
2000_12_01_00000000000000000033,Wisconsin,0,2000_12_01,
2000_12_01_00000000000000000034,Wyoming,0,2000_12_01,
2001_01_01_00000000000000000000,Alabama,0,2001_01_01,
2001_01_01_00000000000000000001,Alaska,0,2001_01_01,
2001_01_01_00000000000000000002,Arizona,0,2001_01_01,
2001_01_01_00000000000000000003,Arkansas,0,2001_01_01,
2001_01_01_00000000000000000004,California,136,2001_01_01,
2001_01_01_00000000000000000005,Colorado,0,2001_01_01,
2001_01_01_00000000000000000006,Connecticut,0,2001_01_01,
2001_01_01_00000000000000000007,Delaware,0,2001_01_01,
2001_01_01_00000000000000000008,District of Columbia,0,2001_01_01,
2001_01_01_00000000000000000009,Florida,35,2001_01_01,
2001_01_01_0000000000000000000a,Georgia,0,2001_01_01,
2001_01_01_0000000000000000000b,Hawaii,0,2001_01_01,
2001_01_01_0000000000000000000c,Idaho,0,2001_01_01,
2001_01_01_0000000000000000000d,Illinois,0,2001_01_01,
2001_01_01_0000000000000000000e,Indiana,0,2001_01_01,
2001_01_01_0000000000000000000f,Iowa,0,2001_01_01,
2001_01_01_00000000000000000010,Kansas,0,2001_01_01,
2001_01_01_00000000000000000011,Kentucky,0,2001_01_01,
2001_01_01_00000000000000000012,Louisiana,0,2001_01_01,
2001_01_01_00000000000000000013,Maine,0,2001_01_01,
2001_01_01_00000000000000000014,Maryland,0,2001_01_01,
2001_01_01_00000000000000000015,Massachusetts,0,2001_01_01,
2001_01_01_00000000000000000016,Michigan,0,2001_01_01,
2001_01_01_00000000000000000017,Minnesota,0,2001_01_01,
2001_01_01_00000000000000000018,Mississippi,0,2001_01_01,
2001_01_01_00000000000000000019,Missouri,0,2001_01_01,
2001_01_01_0000000000000000001a,Montana,0,2001_01_01,
2001_01_01_0000000000000000001b,Nebraska,0,2001_01_01,
2001_01_01_0000000000000000001c,Nevada,0,2001_01_01,
2001_01_01_0000000000000000001d,New Hampshire,0,2001_01_01,
2001_01_01_0000000000000000001e,New Jersey,0,2001_01_01,
2001_01_01_0000000000000000001f,New Mexico,0,2001_01_01,
2001_01_01_00000000000000000020,New York,0,2001_01_01,
2001_01_01_00000000000000000021,North Carolina,0,2001_01_01,
2001_01_01_00000000000000000022,North Dakota,0,2001_01_01,
2001_01_01_00000000000000000023,Ohio,0,2001_01_01,
2001_01_01_00000000000000000024,Oklahoma,0,2001_01_01,
2001_01_01_00000000000000000025,Oregon,0,2001_01_01,
2001_01_01_00000000000000000026,Pennsylvania,0,2001_01_01,
2001_01_01_00000000000000000027,Puerto Rico,0,2001_01_01,
2001_01_01_00000000000000000028,Rhode Island,0,2001_01_01,
2001_01_01_00000000000000000029,South Carolina,0,2001_01_01,
2001_01_01_0000000000000000002a,South Dakota,0,2001_01_01,
2001_01_01_0000000000000000002b,Tennessee,0,2001_01_01,
2001_01_01_0000000000000000002c,Texas,11,2001_01_01,
2001_01_01_0000000000000000002d,Utah,0,2001_01_01,
2001_01_01_0000000000000000002e,Vermont,0,2001_01_01,
2001_01_01_0000000000000000002f,Virgin Islands,0,2001_01_01,
2001_01_01_00000000000000000030,Virginia,0,2001_01_01,
2001_01_01_00000000000000000031,Washington,0,2001_01_01,
2001_01_01_00000000000000000032,West Virginia,0,2001_01_01,
2001_01_01_00000000000000000033,Wisconsin,0,2001_01_01,
2001_01_01_00000000000000000034,Wyoming,0,2001_01_01,
2001_02_01_00000000000000000000,Alabama,3,2001_02_01,
2001_02_01_00000000000000000001,Alaska,0,2001_02_01,
2001_02_01_00000000000000000002,Arizona,0,2001_02_01,
2001_02_01_00000000000000000003,Arkansas,0,2001_02_01,
2001_02_01_00000000000000000004,California,7,2001_02_01,
2001_02_01_00000000000000000005,Colorado,0,2001_02_01,
2001_02_01_00000000000000000006,Connecticut,0,2001_02_01,
2001_02_01_00000000000000000007,Delaware,0,2001_02_01,
2001_02_01_00000000000000000008,District of Columbia,0,2001_02_01,
2001_02_01_00000000000000000009,Florida,108,2001_02_01,
2001_02_01_0000000000000000000a,Georgia,15,2001_02_01,
2001_02_01_0000000000000000000b,Hawaii,0,2001_02_01,
2001_02_01_0000000000000000000c,Idaho,0,2001_02_01,
2001_02_01_0000000000000000000d,Illinois,0,2001_02_01,
2001_02_01_0000000000000000000e,Indiana,0,2001_02_01,
2001_02_01_0000000000000000000f,Iowa,0,2001_02_01,
2001_02_01_00000000000000000010,Kansas,0,2001_02_01,
2001_02_01_00000000000000000011,Kentucky,0,2001_02_01,
2001_02_01_00000000000000000012,Louisiana,1,2001_02_01,
