system:index,NAME,count,imageId,.geo
2000_11_01_00000000000000000022,United States Virgin Islands,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000023,Commonwealth of the Northern Mariana Islands,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000024,Guam,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000029,American Samoa,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000031,Puerto Rico,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000005,Rhode Island,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000007,New Hampshire,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000009,Vermont,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_0000000000000000000a,Connecticut,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000025,Maine,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000033,Massachusetts,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_0000000000000000000e,New Jersey,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000012,Pennsylvania,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000026,New York,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000002,Illinois,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_0000000000000000000f,Wisconsin,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000018,Ohio,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_0000000000000000002a,Michigan,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000030,Indiana,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000003,Minnesota,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000011,Nebraska,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000020,North Dakota,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_0000000000000000002d,Missouri,12,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_0000000000000000002f,Kansas,31,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000032,South Dakota,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000036,Iowa,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000000,West Virginia,35,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000001,Florida,517,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000004,Maryland,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000008,North Carolina,6,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_0000000000000000000b,Delaware,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000015,Georgia,59,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_0000000000000000001b,South Carolina,1,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000034,Virginia,174,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000035,District of Columbia,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000016,Alabama,32,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_0000000000000000001d,Tennessee,161,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000021,Kentucky,118,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_0000000000000000002c,Mississippi,11,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000014,Louisiana,63,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000019,Texas,3,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_0000000000000000001c,Oklahoma,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_0000000000000000002b,Arkansas,7,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000006,Idaho,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_0000000000000000000c,New Mexico,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000017,Utah,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_0000000000000000001a,Colorado,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_0000000000000000001e,Wyoming,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000027,Nevada,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_0000000000000000002e,Montana,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000037,Arizona,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_0000000000000000000d,California,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000010,Oregon,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000013,Washington,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_0000000000000000001f,Hawaii,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01_00000000000000000028,Alaska,0,2000_11_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
