"NAME" "Week" "Year" "SumWeek"
"1" "Florida" 1 2001 NA
"2" "Florida" 2 2001 NA
"3" "Florida" 3 2001 7
"4" "Florida" 4 2001 3
"5" "Florida" 5 2001 NA
"6" "Florida" 6 2001 16
"7" "Florida" 7 2001 5
"8" "Florida" 8 2001 12
"9" "Florida" 9 2001 1
"10" "Florida" 10 2001 16
"11" "Florida" 11 2001 1
"12" "Florida" 12 2001 10
"13" "Florida" 13 2001 2
"14" "Florida" 14 2001 23
"15" "Florida" 15 2001 12
"16" "Florida" 16 2001 5
"17" "Florida" 17 2001 1
"18" "Florida" 18 2001 8
"19" "Florida" 19 2001 7
"20" "Florida" 20 2001 31
"21" "Florida" 21 2001 1
"22" "Florida" 22 2001 NA
"23" "Florida" 23 2001 5
"24" "Florida" 24 2001 5
"25" "Florida" 25 2001 NA
"26" "Florida" 26 2001 NA
"27" "Florida" 27 2001 1
"28" "Florida" 28 2001 9
"29" "Florida" 29 2001 10
"30" "Florida" 30 2001 1
"31" "Florida" 31 2001 NA
"32" "Florida" 32 2001 NA
"33" "Florida" 33 2001 NA
"34" "Florida" 34 2001 NA
"35" "Florida" 35 2001 3
"36" "Florida" 36 2001 2
"37" "Florida" 37 2001 NA
"38" "Florida" 38 2001 NA
"39" "Florida" 39 2001 1
"40" "Florida" 40 2001 6
"41" "Florida" 41 2001 14
"42" "Florida" 42 2001 13
"43" "Florida" 43 2001 17
"44" "Florida" 44 2001 NA
"45" "Florida" 45 2001 1
"46" "Florida" 46 2001 NA
"47" "Florida" 47 2001 2
"48" "Florida" 48 2001 10
"49" "Florida" 49 2001 2
"50" "Florida" 50 2001 NA
"51" "Florida" 51 2001 1
"52" "Florida" 52 2001 2
"53" "Florida" 1 2002 NA
"54" "Florida" 2 2002 4
"55" "Florida" 3 2002 9
"56" "Florida" 4 2002 NA
"57" "Florida" 5 2002 3
"58" "Florida" 6 2002 16
"59" "Florida" 7 2002 5
"60" "Florida" 8 2002 4
"61" "Florida" 9 2002 5
"62" "Florida" 10 2002 9
"63" "Florida" 11 2002 8
"64" "Florida" 12 2002 NA
"65" "Florida" 13 2002 NA
"66" "Florida" 14 2002 6
"67" "Florida" 15 2002 2
"68" "Florida" 16 2002 6
"69" "Florida" 17 2002 44
"70" "Florida" 18 2002 13
"71" "Florida" 19 2002 NA
"72" "Florida" 20 2002 1
"73" "Florida" 21 2002 NA
"74" "Florida" 22 2002 4
"75" "Florida" 23 2002 5
"76" "Florida" 24 2002 21
"77" "Florida" 25 2002 NA
"78" "Florida" 26 2002 NA
"79" "Florida" 27 2002 NA
"80" "Florida" 28 2002 8
"81" "Florida" 29 2002 1
"82" "Florida" 30 2002 NA
"83" "Florida" 31 2002 NA
"84" "Florida" 32 2002 1
"85" "Florida" 33 2002 18
"86" "Florida" 34 2002 8
"87" "Florida" 35 2002 3
"88" "Florida" 36 2002 13
"89" "Florida" 37 2002 17
