"NAME" "Week" "Year" "SumWeek"
"1" "Florida" 1 2001 109
"2" "Florida" 2 2001 79
"3" "Florida" 3 2001 77
"4" "Florida" 4 2001 90
"5" "Florida" 5 2001 40
"6" "Florida" 6 2001 162
"7" "Florida" 7 2001 99
"8" "Florida" 8 2001 121
"9" "Florida" 9 2001 39
"10" "Florida" 10 2001 89
"11" "Florida" 11 2001 26
"12" "Florida" 12 2001 78
"13" "Florida" 13 2001 50
"14" "Florida" 14 2001 139
"15" "Florida" 15 2001 110
"16" "Florida" 16 2001 75
"17" "Florida" 17 2001 40
"18" "Florida" 18 2001 13
"19" "Florida" 19 2001 32
"20" "Florida" 20 2001 98
"21" "Florida" 21 2001 291
"22" "Florida" 22 2001 78
"23" "Florida" 23 2001 57
"24" "Florida" 24 2001 53
"25" "Florida" 25 2001 NA
"26" "Florida" 26 2001 NA
"27" "Florida" 27 2001 6
"28" "Florida" 28 2001 23
"29" "Florida" 29 2001 32
"30" "Florida" 30 2001 4
"31" "Florida" 31 2001 4
"32" "Florida" 32 2001 12
"33" "Florida" 33 2001 31
"34" "Florida" 34 2001 62
"35" "Florida" 35 2001 56
"36" "Florida" 36 2001 31
"37" "Florida" 37 2001 13
"38" "Florida" 38 2001 28
"39" "Florida" 39 2001 8
"40" "Florida" 40 2001 53
"41" "Florida" 41 2001 32
"42" "Florida" 42 2001 59
"43" "Florida" 43 2001 40
"44" "Florida" 44 2001 45
"45" "Florida" 45 2001 75
"46" "Florida" 46 2001 40
"47" "Florida" 47 2001 54
"48" "Florida" 48 2001 79
"49" "Florida" 49 2001 90
"50" "Florida" 50 2001 41
"51" "Florida" 51 2001 52
"52" "Florida" 52 2001 38
"53" "Florida" 1 2002 19
"54" "Florida" 2 2002 95
"55" "Florida" 3 2002 78
"56" "Florida" 4 2002 98
"57" "Florida" 5 2002 68
"58" "Florida" 6 2002 83
"59" "Florida" 7 2002 83
"60" "Florida" 8 2002 58
"61" "Florida" 9 2002 95
"62" "Florida" 10 2002 105
"63" "Florida" 11 2002 97
"64" "Florida" 12 2002 2
"65" "Florida" 13 2002 20
"66" "Florida" 14 2002 70
"67" "Florida" 15 2002 20
"68" "Florida" 16 2002 63
"69" "Florida" 17 2002 109
"70" "Florida" 18 2002 53
"71" "Florida" 19 2002 23
"72" "Florida" 20 2002 22
"73" "Florida" 21 2002 24
"74" "Florida" 22 2002 28
"75" "Florida" 23 2002 28
"76" "Florida" 24 2002 64
"77" "Florida" 25 2002 3
"78" "Florida" 26 2002 9
"79" "Florida" 27 2002 16
"80" "Florida" 28 2002 26
"81" "Florida" 29 2002 103
"82" "Florida" 30 2002 34
"83" "Florida" 31 2002 22
"84" "Florida" 32 2002 49
"85" "Florida" 33 2002 54
"86" "Florida" 34 2002 42
"87" "Florida" 35 2002 18
"88" "Florida" 36 2002 42
"89" "Florida" 37 2002 25
"90" "Florida" 38 2002 55
"91" "Florida" 39 2002 24
"92" "Florida" 40 2002 55
"93" "Florida" 41 2002 56
"94" "Florida" 42 2002 48
"95" "Florida" 43 2002 62
"96" "Florida" 44 2002 110
"97" "Florida" 45 2002 96
"98" "Florida" 46 2002 66
"99" "Florida" 47 2002 76
"100" "Florida" 48 2002 83
"101" "Florida" 49 2002 133
"102" "Florida" 50 2002 4
"103" "Florida" 51 2002 147
"104" "Florida" 52 2002 74
"105" "Florida" 1 2003 95
"106" "Florida" 2 2003 254
"107" "Florida" 3 2003 342
"108" "Florida" 4 2003 265
"109" "Florida" 5 2003 377
"110" "Florida" 6 2003 118
"111" "Florida" 7 2003 233
"112" "Florida" 8 2003 271
"113" "Florida" 9 2003 68
"114" "Florida" 10 2003 86
"115" "Florida" 11 2003 67
"116" "Florida" 12 2003 139
"117" "Florida" 13 2003 93
"118" "Florida" 14 2003 149
"119" "Florida" 15 2003 115
"120" "Florida" 16 2003 89
"121" "Florida" 17 2003 167
"122" "Florida" 18 2003 112
"123" "Florida" 19 2003 115
"124" "Florida" 20 2003 107
"125" "Florida" 21 2003 41
"126" "Florida" 22 2003 131
"127" "Florida" 23 2003 19
"128" "Florida" 24 2003 41
"129" "Florida" 25 2003 1
"130" "Florida" 26 2003 81
"131" "Florida" 27 2003 5
"132" "Florida" 28 2003 47
"133" "Florida" 29 2003 27
"134" "Florida" 30 2003 36
"135" "Florida" 31 2003 18
"136" "Florida" 32 2003 3
"137" "Florida" 33 2003 16
"138" "Florida" 34 2003 11
"139" "Florida" 35 2003 29
"140" "Florida" 36 2003 8
"141" "Florida" 37 2003 116
"142" "Florida" 38 2003 67
"143" "Florida" 39 2003 21
"144" "Florida" 40 2003 44
"145" "Florida" 41 2003 13
"146" "Florida" 42 2003 65
"147" "Florida" 43 2003 178
