"NAME" "Week" "Year" "SumWeek"
"1" "Florida" 1 2012 NA
"2" "Florida" 2 2012 NA
"3" "Florida" 3 2012 70
"4" "Florida" 4 2012 85
"5" "Florida" 5 2012 93
"6" "Florida" 6 2012 7
"7" "Florida" 7 2012 29
"8" "Florida" 8 2012 34
"9" "Florida" 9 2012 39
"10" "Florida" 10 2012 54
"11" "Florida" 11 2012 17
"12" "Florida" 12 2012 37
"13" "Florida" 13 2012 147
"14" "Florida" 14 2012 28
"15" "Florida" 15 2012 1595
"16" "Florida" 16 2012 117
"17" "Florida" 17 2012 29
"18" "Florida" 18 2012 62
"19" "Florida" 19 2012 173
"20" "Florida" 20 2012 14
"21" "Florida" 21 2012 96
"22" "Florida" 22 2012 89
"23" "Florida" 23 2012 3
"24" "Florida" 24 2012 20
"25" "Florida" 25 2012 45
"26" "Florida" 26 2012 18
"27" "Florida" 27 2012 60
"28" "Florida" 28 2012 32
"29" "Florida" 29 2012 2
"30" "Florida" 30 2012 122
"31" "Florida" 31 2012 59
"32" "Florida" 32 2012 2
"33" "Florida" 33 2012 9
"34" "Florida" 34 2012 NA
"35" "Florida" 35 2012 NA
"36" "Florida" 36 2012 NA
"37" "Florida" 37 2012 NA
"38" "Florida" 38 2012 3
"39" "Florida" 39 2012 2
"40" "Florida" 40 2012 NA
"41" "Florida" 41 2012 NA
"42" "Florida" 42 2012 11
"43" "Florida" 43 2012 26
"44" "Florida" 44 2012 10
"45" "Florida" 45 2012 12
"46" "Florida" 46 2012 17
"47" "Florida" 47 2012 15
"48" "Florida" 48 2012 23
"49" "Florida" 49 2012 24
"50" "Florida" 50 2012 3
"51" "Florida" 51 2012 17
"52" "Florida" 52 2012 23
"53" "Florida" 1 2013 NA
"54" "Florida" 2 2013 139
"55" "Florida" 3 2013 62
"56" "Florida" 4 2013 33
"57" "Florida" 5 2013 129
"58" "Florida" 6 2013 17
"59" "Florida" 7 2013 89
"60" "Florida" 8 2013 42
"61" "Florida" 9 2013 95
"62" "Florida" 10 2013 247
"63" "Florida" 11 2013 151
"64" "Florida" 12 2013 111
"65" "Florida" 13 2013 265
"66" "Florida" 14 2013 215
"67" "Florida" 15 2013 83
"68" "Florida" 16 2013 110
"69" "Florida" 17 2013 124
"70" "Florida" 18 2013 3
"71" "Florida" 19 2013 101
"72" "Florida" 20 2013 50
"73" "Florida" 21 2013 5
"74" "Florida" 22 2013 6
"75" "Florida" 23 2013 23
"76" "Florida" 24 2013 124
"77" "Florida" 25 2013 30
"78" "Florida" 26 2013 35
"79" "Florida" 27 2013 NA
"80" "Florida" 28 2013 16
"81" "Florida" 29 2013 22
"82" "Florida" 30 2013 4
"83" "Florida" 31 2013 4
"84" "Florida" 32 2013 4
"85" "Florida" 33 2013 2
"86" "Florida" 34 2013 NA
"87" "Florida" 35 2013 7
"88" "Florida" 36 2013 NA
"89" "Florida" 37 2013 17
"90" "Florida" 38 2013 45
"91" "Florida" 39 2013 56
"92" "Florida" 40 2013 3
"93" "Florida" 41 2013 1
"94" "Florida" 42 2013 NA
"95" "Florida" 43 2013 61
"96" "Florida" 44 2013 97
"97" "Florida" 45 2013 32
"98" "Florida" 46 2013 32
"99" "Florida" 47 2013 NA
"100" "Florida" 48 2013 1
"101" "Florida" 49 2013 107
"102" "Florida" 50 2013 66
"103" "Florida" 51 2013 88
"104" "Florida" 52 2013 NA
