"NAME" "Week" "Year" "SumWeek"
"1" "Alabama" 1 2012 NA
"2" "Alabama" 2 2012 NA
"3" "Alabama" 3 2012 NA
"4" "Alabama" 4 2012 1
"5" "Alabama" 5 2012 49
"6" "Alabama" 6 2012 36
"7" "Alabama" 7 2012 13
"8" "Alabama" 8 2012 25
"9" "Alabama" 9 2012 62
"10" "Alabama" 10 2012 71
"11" "Alabama" 11 2012 23
"12" "Alabama" 12 2012 123
"13" "Alabama" 13 2012 122
"14" "Alabama" 14 2012 5
"15" "Alabama" 15 2012 111
"16" "Alabama" 16 2012 2
"17" "Alabama" 17 2012 45
"18" "Alabama" 18 2012 10
"19" "Alabama" 19 2012 5
"20" "Alabama" 20 2012 3
"21" "Alabama" 21 2012 14
"22" "Alabama" 22 2012 1
"23" "Alabama" 23 2012 2
"24" "Alabama" 24 2012 2
"25" "Alabama" 25 2012 20
"26" "Alabama" 26 2012 7
"27" "Alabama" 27 2012 3
"28" "Alabama" 28 2012 5
"29" "Alabama" 29 2012 NA
"30" "Alabama" 30 2012 7
"31" "Alabama" 31 2012 3
"32" "Alabama" 32 2012 NA
"33" "Alabama" 33 2012 8
"34" "Alabama" 34 2012 3
"35" "Alabama" 35 2012 4
"36" "Alabama" 36 2012 NA
"37" "Alabama" 37 2012 4
"38" "Alabama" 38 2012 3
"39" "Alabama" 39 2012 11
"40" "Alabama" 40 2012 1
"41" "Alabama" 41 2012 29
"42" "Alabama" 42 2012 19
"43" "Alabama" 43 2012 70
"44" "Alabama" 44 2012 33
"45" "Alabama" 45 2012 20
"46" "Alabama" 46 2012 9
"47" "Alabama" 47 2012 25
"48" "Alabama" 48 2012 8
"49" "Alabama" 49 2012 6
"50" "Alabama" 50 2012 1
"51" "Alabama" 51 2012 NA
"52" "Alabama" 52 2012 NA
"53" "Alabama" 1 2013 NA
"54" "Alabama" 2 2013 2
"55" "Alabama" 3 2013 6
"56" "Alabama" 4 2013 62
"57" "Alabama" 5 2013 44
"58" "Alabama" 6 2013 NA
"59" "Alabama" 7 2013 16
"60" "Alabama" 8 2013 56
"61" "Alabama" 9 2013 96
"62" "Alabama" 10 2013 176
"63" "Alabama" 11 2013 181
"64" "Alabama" 12 2013 5
"65" "Alabama" 13 2013 56
"66" "Alabama" 14 2013 14
"67" "Alabama" 15 2013 27
"68" "Alabama" 16 2013 NA
"69" "Alabama" 17 2013 35
"70" "Alabama" 18 2013 1
"71" "Alabama" 19 2013 2
"72" "Alabama" 20 2013 13
"73" "Alabama" 21 2013 4
"74" "Alabama" 22 2013 5
"75" "Alabama" 23 2013 2
"76" "Alabama" 24 2013 NA
"77" "Alabama" 25 2013 1
"78" "Alabama" 26 2013 4
"79" "Alabama" 27 2013 NA
"80" "Alabama" 28 2013 1
"81" "Alabama" 29 2013 NA
"82" "Alabama" 30 2013 1
"83" "Alabama" 31 2013 1
"84" "Alabama" 32 2013 1
"85" "Alabama" 33 2013 NA
"86" "Alabama" 34 2013 NA
"87" "Alabama" 35 2013 1
"88" "Alabama" 36 2013 NA
"89" "Alabama" 37 2013 10
"90" "Alabama" 38 2013 1
"91" "Alabama" 39 2013 1
"92" "Alabama" 40 2013 5
"93" "Alabama" 41 2013 2
"94" "Alabama" 42 2013 9
"95" "Alabama" 43 2013 7
"96" "Alabama" 44 2013 11
"97" "Alabama" 45 2013 4
"98" "Alabama" 46 2013 27
"99" "Alabama" 47 2013 6
"100" "Alabama" 48 2013 1
"101" "Alabama" 49 2013 NA
"102" "Alabama" 50 2013 9
"103" "Alabama" 51 2013 17
"104" "Alabama" 52 2013 NA
"105" "Alabama" 1 2014 NA
"106" "Alabama" 2 2014 NA
"107" "Alabama" 3 2014 73
"108" "Alabama" 4 2014 77
"109" "Alabama" 5 2014 25
"110" "Alabama" 6 2014 NA
"111" "Alabama" 7 2014 31
"112" "Alabama" 8 2014 28
"113" "Alabama" 9 2014 68
"114" "Alabama" 10 2014 95
"115" "Alabama" 11 2014 125
"116" "Alabama" 12 2014 119
"117" "Alabama" 13 2014 67
"118" "Alabama" 14 2014 84
"119" "Alabama" 15 2014 203
"120" "Alabama" 16 2014 35
"121" "Alabama" 17 2014 39
"122" "Alabama" 18 2014 7
"123" "Alabama" 19 2014 9
"124" "Alabama" 20 2014 6
"125" "Alabama" 21 2014 21
"126" "Alabama" 22 2014 NA
"127" "Alabama" 23 2014 NA
"128" "Alabama" 24 2014 NA
"129" "Alabama" 25 2014 1
"130" "Alabama" 26 2014 1
"131" "Alabama" 27 2014 NA
"132" "Alabama" 28 2014 NA
"133" "Alabama" 29 2014 NA
"134" "Alabama" 30 2014 2
"135" "Alabama" 31 2014 9
"136" "Alabama" 32 2014 NA
"137" "Alabama" 33 2014 3
"138" "Alabama" 34 2014 5
"139" "Alabama" 35 2014 7
"140" "Alabama" 36 2014 3
"141" "Alabama" 37 2014 3
"142" "Alabama" 38 2014 6
"143" "Alabama" 39 2014 6
"144" "Alabama" 40 2014 NA
"145" "Alabama" 41 2014 1
"146" "Alabama" 42 2014 9
"147" "Alabama" 43 2014 19
"148" "Alabama" 44 2014 3
"149" "Alabama" 45 2014 NA
"150" "Alabama" 46 2014 NA
"151" "Alabama" 47 2014 9
"152" "Alabama" 48 2014 1
"153" "Alabama" 49 2014 20
"154" "Alabama" 50 2014 25
"155" "Alabama" 51 2014 1
"156" "Alabama" 52 2014 1
"157" "Alabama" 1 2015 5
"158" "Alabama" 2 2015 1
"159" "Alabama" 3 2015 70
"160" "Alabama" 4 2015 24
"161" "Alabama" 5 2015 104
"162" "Alabama" 6 2015 192
"163" "Alabama" 7 2015 63
"164" "Alabama" 8 2015 5
"165" "Alabama" 9 2015 NA
"166" "Alabama" 10 2015 43
"167" "Alabama" 11 2015 84
"168" "Alabama" 12 2015 37
"169" "Alabama" 13 2015 34
"170" "Alabama" 14 2015 4
"171" "Alabama" 15 2015 11
"172" "Alabama" 16 2015 1
"173" "Alabama" 17 2015 42
"174" "Alabama" 18 2015 76
"175" "Alabama" 19 2015 36
"176" "Alabama" 20 2015 3
"177" "Alabama" 21 2015 11
"178" "Alabama" 22 2015 2
"179" "Alabama" 23 2015 8
"180" "Alabama" 24 2015 NA
"181" "Alabama" 25 2015 6
"182" "Alabama" 26 2015 NA
"183" "Alabama" 27 2015 NA
"184" "Alabama" 28 2015 NA
"185" "Alabama" 29 2015 NA
"186" "Alabama" 30 2015 2
"187" "Alabama" 31 2015 2
"188" "Alabama" 32 2015 NA
"189" "Alabama" 33 2015 NA
"190" "Alabama" 34 2015 NA
"191" "Alabama" 35 2015 8
"192" "Alabama" 36 2015 NA
"193" "Alabama" 37 2015 25
"194" "Alabama" 38 2015 1
"195" "Alabama" 39 2015 8
"196" "Alabama" 40 2015 3
"197" "Alabama" 41 2015 24
"198" "Alabama" 42 2015 54
"199" "Alabama" 43 2015 38
"200" "Alabama" 44 2015 NA
"201" "Alabama" 45 2015 NA
"202" "Alabama" 46 2015 1
"203" "Alabama" 47 2015 4
"204" "Alabama" 48 2015 7
"205" "Alabama" 49 2015 55
"206" "Alabama" 50 2015 18
"207" "Alabama" 51 2015 1
"208" "Alabama" 52 2015 NA
"209" "Alabama" 1 2016 3
"210" "Alabama" 2 2016 33
"211" "Alabama" 3 2016 16
"212" "Alabama" 4 2016 NA
"213" "Alabama" 5 2016 NA
"214" "Alabama" 6 2016 78
"215" "Alabama" 7 2016 213
"216" "Alabama" 8 2016 62
"217" "Alabama" 9 2016 145
"218" "Alabama" 10 2016 120
"219" "Alabama" 11 2016 94
"220" "Alabama" 12 2016 254
"221" "Alabama" 13 2016 31
"222" "Alabama" 14 2016 125
"223" "Alabama" 15 2016 82
"224" "Alabama" 16 2016 44
"225" "Alabama" 17 2016 45
"226" "Alabama" 18 2016 5
"227" "Alabama" 19 2016 NA
"228" "Alabama" 20 2016 1
"229" "Alabama" 21 2016 14
"230" "Alabama" 22 2016 6
"231" "Alabama" 23 2016 1
"232" "Alabama" 24 2016 2
"233" "Alabama" 25 2016 4
"234" "Alabama" 26 2016 3
"235" "Alabama" 27 2016 NA
"236" "Alabama" 28 2016 1
"237" "Alabama" 29 2016 2
"238" "Alabama" 30 2016 1
"239" "Alabama" 31 2016 2
"240" "Alabama" 32 2016 4
"241" "Alabama" 33 2016 1
"242" "Alabama" 34 2016 2
"243" "Alabama" 35 2016 15
"244" "Alabama" 36 2016 9
"245" "Alabama" 37 2016 34
"246" "Alabama" 38 2016 6
"247" "Alabama" 39 2016 5
"248" "Alabama" 40 2016 10
"249" "Alabama" 41 2016 16
"250" "Alabama" 42 2016 19
"251" "Alabama" 43 2016 16
"252" "Alabama" 44 2016 58
"253" "Alabama" 45 2016 NA
"254" "Alabama" 46 2016 34
"255" "Alabama" 47 2016 10
"256" "Alabama" 48 2016 3
"257" "Alabama" 49 2016 NA
"258" "Alabama" 50 2016 2
"259" "Alabama" 51 2016 2
"260" "Alabama" 52 2016 2
"261" "Alabama" 1 2017 NA
"262" "Alabama" 2 2017 17
"263" "Alabama" 3 2017 24
"264" "Alabama" 4 2017 34
"265" "Alabama" 5 2017 84
"266" "Alabama" 6 2017 12
"267" "Alabama" 7 2017 109
"268" "Alabama" 8 2017 96
"269" "Alabama" 9 2017 34
"270" "Alabama" 10 2017 57
"271" "Alabama" 11 2017 34
"272" "Alabama" 12 2017 152
"273" "Alabama" 13 2017 21
"274" "Alabama" 14 2017 133
"275" "Alabama" 15 2017 27
"276" "Alabama" 16 2017 18
"277" "Alabama" 17 2017 10
"278" "Alabama" 18 2017 4
"279" "Alabama" 19 2017 10
"280" "Alabama" 20 2017 13
"281" "Alabama" 21 2017 NA
"282" "Alabama" 22 2017 NA
"283" "Alabama" 23 2017 NA
"284" "Alabama" 24 2017 NA
